i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
163,-2825.0178139759946,895.6120294032953,-119.48978511125631,0.0,0.0,0.0,262.37908935546875,293.733154296875,298.6689453125,1.0,1.0,1.0
164,-2045.9415200306819,-2147.8042303623297,-2405.655495560475,0.0,0.0,0.0,170.47308349609375,184.6552734375,170.0059814453125,1.0,1.0,1.0
165,3442.0213095591616,-3689.9721991123297,-1376.4360741737562,0.0,0.0,0.0,228.2255859375,195.513671875,210.26861572265625,1.0,1.0,1.0
166,-3058.5851967884946,33.19381651267031,-640.3803719642837,0.0,0.0,0.0,242.69403076171875,275.9794921875,237.80789947509766,1.0,1.0,1.0
167,1638.0287558482244,-3869.3984686435797,-2080.294167435475,0.0,0.0,0.0,199.3824462890625,183.72119140625,219.519775390625,1.0,1.0,1.0
168,-6497.038993175213,1232.1635430751703,-1896.7317895057874,0.0,0.0,0.0,312.489501953125,318.94873046875,310.77294921875,1.0,1.0,1.0
169,8891.486641590413,-4935.79495301858,-2246.0705346229747,0.0,0.0,0.0,262.78076171875,249.50927734375,297.4490966796875,1.0,1.0,1.0
170,5594.682198231037,-1596.0046698154547,-900.2105034950455,0.0,0.0,0.0,183.674560546875,183.458740234375,172.6682586669922,1.0,1.0,1.0
171,4907.203682606037,-1995.2527166904547,-2460.856606400319,0.0,0.0,0.0,238.357666015625,218.894287109375,227.65277099609375,1.0,1.0,1.0
172,981.2788779185369,-3814.6157537998297,-1216.338112747975,0.0,0.0,0.0,244.189208984375,277.181640625,302.7808837890625,1.0,1.0,1.0
173,-6264.845877940838,-449.3855291904547,-2346.442055619069,0.0,0.0,0.0,180.81201171875,203.985595703125,214.69024658203125,1.0,1.0,1.0
174,6088.121651356037,-2944.9804998935797,-1699.8168114784437,0.0,0.0,0.0,234.741943359375,242.11962890625,225.38848876953125,1.0,1.0,1.0
175,4931.169991199787,-5001.27932801858,-1408.8290490272718,0.0,0.0,0.0,259.603271484375,273.87158203125,239.46560668945312,1.0,1.0,1.0
176,8981.534493152913,-2622.9931952060797,-2205.589028275319,0.0,0.0,0.0,274.70947265625,249.24853515625,227.80340576171875,1.0,1.0,1.0
177,2672.658394520099,-2501.3286444248297,-1747.5261010292252,0.0,0.0,0.0,317.7420654296875,298.8486328125,282.6492919921875,1.0,1.0,1.0
178,-3181.1012490345884,24.96285948142031,-2152.703347122975,0.0,0.0,0.0,228.7353515625,199.73583984375,213.8201904296875,1.0,1.0,1.0
179,-7136.100760753338,-421.3884588779547,-1188.9859704139908,0.0,0.0,0.0,140.70654296875,171.963623046875,177.46353149414062,1.0,1.0,1.0
180,6533.993233387287,349.3112481532953,-465.6029442909438,0.0,0.0,0.0,237.652587890625,266.670654296875,280.0533142089844,1.0,1.0,1.0
181,-228.24761133927564,-3364.8808905185797,-1905.9457787636,0.0,0.0,0.0,104.12921142578125,140.66162109375,140.495361328125,1.0,1.0,1.0
182,7258.065499012287,-3583.0283514560797,-1147.2377556923109,0.0,0.0,0.0,297.604248046875,278.94189453125,257.47560119628906,1.0,1.0,1.0
183,-53.223929698650636,920.6420587001703,-1333.8295373085223,0.0,0.0,0.0,188.0361328125,198.03955078125,181.29312133789062,1.0,1.0,1.0
